Time (ms),Tendon Contraction (mm),M1 X (mm),M1Y,M2 X,M2 Y,M3 X,M3Y,M4X,M4Y
3895.6697,13.311296,378.43887,160.31984,366.97937,139.16618,361.13278,64.555237,368.11902,44.229984
3912.3892,11.465621,378.4519,160.33165,367.01306,139.19081,361.13065,64.529419,367.80948,44.095947
3929.1089,10.05112,378.35797,160.38898,366.97589,139.2189,361.10873,64.552002,367.90509,44.136562
3945.8284,7.7893953,378.17429,160.42175,366.83838,139.22339,361.06577,64.576988,367.97446,44.14999
3962.5481,6.3324389,378.24554,160.37671,366.87747,139.21213,361.01611,64.495979,367.69858,44.030293
3979.2676,10.949698,378.42035,160.3947,366.9921,139.22169,360.93729,64.473717,367.61575,43.981621
3995.9873,7.2686157,378.12451,160.77597,367.03427,139.25531,360.72589,64.246384,366.98224,43.556038
4012.7068,11.418407,377.66586,161.15013,367.01352,139.34351,360.46057,64.025742,365.94727,43.080143
4029.4265,9.7312088,377.64502,161.12086,366.97949,139.30952,360.46442,63.947083,365.90237,42.979156
4046.1462,11.621851,377.64627,161.06645,366.91626,139.2618,360.54416,63.928833,366.22754,42.973759
4062.8657,14.810155,377.53656,161.0387,366.85938,139.22148,360.55966,63.973469,366.20432,43.017651
4079.5854,2.1678638,377.57678,161.01581,366.87906,139.22026,360.67746,63.971382,366.5715,43.193424
4096.3052,0.55175632,377.5264,161.04593,366.95325,139.20126,360.70828,63.947834,366.52188,43.136341
4113.0244,3.6366873,377.65073,161.21675,367.04385,139.24399,360.71591,63.855671,366.30374,42.951252
4129.7441,11.867622,377.25604,161.63281,367.06717,139.3313,360.63849,63.746582,365.83881,42.603668
4146.4639,11.975367,376.71255,161.89063,366.85028,139.39615,360.54184,63.611977,365.43811,42.429249
4163.1836,6.4572511,376.5914,161.86292,366.67737,139.39299,360.51727,63.615421,365.50281,42.457047
4179.9028,11.297761,376.73669,161.51549,366.57501,139.27646,360.64005,63.786533,365.96481,42.717175
4196.6226,11.165656,377.35995,161.03935,366.64325,139.18092,360.81204,63.943974,366.83371,43.151703
4213.3423,12.824935,377.552,160.97746,366.70981,139.13344,360.797,63.948235,366.91141,43.235691
4230.062,5.8277292,377.4787,161.06076,366.80469,139.15054,360.59024,63.930607,366.22971,43.057819
4246.7813,9.7359533,377.75998,160.94786,366.88742,139.14445,360.58221,63.953423,366.38559,43.135567
4263.501,6.119349,377.82248,160.97226,366.95999,139.16306,360.62894,63.947128,366.49344,43.091064
4280.2207,10.905581,377.45581,161.30284,366.89557,139.27576,360.56277,63.866894,366.03506,42.822002
4296.9404,7.7635784,377.04562,161.50266,366.74756,139.30891,360.49817,63.826244,365.72177,42.708138
